Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Nyxborn Hydra,MH3,Modern Horizons 3,164,normal,common,1,94538,902a969e-9f22-4e92-93eb-9d4536ca82e5,0.16,false,false,near_mint,en,EUR
Willow Geist,MID,Innistrad: Midnight Hunt,207,normal,rare,1,63165,1c40c71c-4cdc-4a28-8ea3-4636c936f8aa,0.28,false,false,near_mint,en,EUR
Arbor Elf,PW21,Wizards Play Network 2021,1,normal,rare,3,61165,3178e55c-7e49-4621-906a-a66e5656e276,0.37,false,false,near_mint,en,EUR
"Vivien, Champion of the Wilds",WAR,War of the Spark,180,normal,rare,1,44224,ff3986d7-9b3d-4082-8d72-ce59c9fcd5d5,0.5,false,false,near_mint,en,EUR
Scavenging Ooze,PLG21,Love Your LGS 2021,5,foil,rare,1,59999,5b2198b7-ba8f-4097-89c9-d6644feb70bd,0.25,false,false,near_mint,en,EUR
Threats Undetected,DMU,Dominaria United,185,normal,rare,1,71630,99545c3e-0710-48d3-8558-046bd66f225c,0.26,false,false,near_mint,en,EUR
Titania's Command,BRO,The Brothers' War,194,normal,rare,1,75554,753567c7-c484-4c0d-8128-7710e23c428f,0.65,false,false,near_mint,en,EUR
Storm the Festival,MID,Innistrad: Midnight Hunt,200,normal,rare,1,63404,b4f1f69c-122d-472a-b82d-fed7c253a4cd,0.31,false,false,near_mint,en,EUR
Teething Wurmlet,BRO,The Brothers' War,192,normal,rare,1,75342,2350027a-f3a4-4cba-9dfc-27e33bddb3be,0.36,false,false,near_mint,en,EUR
Briarbridge Tracker,MID,Innistrad: Midnight Hunt,172,normal,rare,1,63472,e215a7bd-112f-4228-a99e-5a8cb4be5cee,0.12,false,false,near_mint,en,EUR
Lovestruck Beast // Heart's Desire,ELD,Throne of Eldraine,165,normal,rare,3,46173,4ccdef9c-1e85-4358-8059-8972479f7556,0.16,false,false,near_mint,en,EUR
"Ozolith, the Shattered Spire",MOM,March of the Machine,198,normal,rare,1,81224,c9eee658-29e8-4ab5-8a0e-31f2f28a9a92,5.44,false,false,near_mint,en,EUR
Glistening Dawn,MOM,March of the Machine,187,normal,rare,1,81079,5443f4f6-a549-4912-a919-69e3570a9933,0.13,false,false,near_mint,en,EUR
Abundance,CMM,Commander Masters,884,normal,rare,1,84661,9bc359b0-8886-415b-a497-e98a2241084e,0.33,false,false,near_mint,en,EUR
Abundant Harvest,STA,Strixhaven Mystical Archive,48,normal,rare,1,58010,16782095-0b7f-4489-8a97-b74f8efef352,0.35,false,false,near_mint,en,EUR
Sunbringer's Touch,DTK,Dragons of Tarkir,209,normal,rare,1,11605,ad4d33ea-0193-4ea5-92ea-5f50a533bf6b,0.12,false,false,near_mint,en,EUR
Tribute to the World Tree,MOM,March of the Machine,211,normal,rare,2,81215,c0cdeaba-fc21-44e6-bf99-aa1ff379401b,7.89,false,false,near_mint,en,EUR
Dig Up,VOW,Innistrad: Crimson Vow,197,normal,rare,1,64311,8f14c947-2452-4fd6-8f1a-391cf5898100,0.6,false,false,near_mint,en,EUR
Flare of Cultivation,MH3,Modern Horizons 3,154,normal,rare,1,91777,bda2fa87-81c0-41ac-8831-556ce392c058,1.27,false,false,near_mint,en,EUR
Sowing Mycospawn,MH3,Modern Horizons 3,170,normal,rare,1,94619,cdfadb17-76ad-4d4d-9fa7-33c4b88b4c0a,3.46,false,false,near_mint,en,EUR
Leaf-Crowned Visionary,DMU,Dominaria United,167,normal,rare,1,71679,aa7bd814-9f88-4e01-932d-07ac1abc060e,4.37,false,false,near_mint,en,EUR
Swarm Shambler,ZNR,Zendikar Rising,207,normal,rare,3,54618,7a7e4f99-ece4-473e-b712-40e4c53558e8,0.1,false,false,near_mint,en,EUR
Sandsteppe Mastodon,FRF,Fate Reforged,137,normal,rare,1,11989,76ae01fb-12fa-444d-9d49-bfe195c2a5a6,0.12,false,false,near_mint,en,EUR
Spring-Leaf Avenger,NEO,Kamigawa: Neon Dynasty,208,normal,rare,1,66888,74b1ba9c-ee62-461f-8422-f791274e2f1c,0.16,false,false,near_mint,en,EUR
Jaheira's Respite,CLB,Commander Legends: Battle for Baldur's Gate,238,normal,rare,1,68826,04ce0b01-7b52-4cb9-86ea-13395cf52312,0.5,false,false,near_mint,en,EUR
Shifting Ceratops,M20,Core Set 2020,194,normal,rare,2,45267,8e318600-21af-4003-bcfa-be926cd24c5c,0.23,false,false,near_mint,en,EUR
Blessing of Frost,KHM,Kaldheim,161,normal,rare,3,56841,42f01f4d-491e-4f25-a017-a0d9c437ac8c,0.08,false,false,near_mint,en,EUR
Ulvenwald Tracker,MM3,Modern Masters 2017,144,normal,rare,1,6069,4da9e7d8-5f01-4d55-a0a8-afe5e7d5f8e4,4.71,false,false,near_mint,en,EUR
Verdant Mastery,STX,Strixhaven: School of Mages,146,normal,rare,1,58016,197455e5-7929-47b8-ad00-8d3918949eb7,0.16,false,false,near_mint,en,EUR
Champion of Lambholt,MOC,March of the Machine Commander,293,normal,rare,1,81647,46eff31d-f460-48f2-aab7-8b9b89cd87fe,1.25,false,false,near_mint,en,EUR
Hide in Plain Sight,MKM,Murders at Karlov Manor,166,normal,rare,1,91227,d87c1ed8-c644-4ad5-9a21-c7bd9a7e8d20,0.17,false,false,near_mint,en,EUR
Nylea's Intervention,THB,Theros Beyond Death,188,normal,rare,1,46874,daa2f963-9d16-4224-b24e-b6a79f2b9d75,0.53,false,false,near_mint,en,EUR
For the Common Good,BLB,Bloomburrow,172,normal,rare,1,95912,3ec72a27-b622-47d7-bdf3-970ccaef0d2a,0.58,false,false,near_mint,en,EUR
Obscuring Aether,DTK,Dragons of Tarkir,194,normal,rare,1,11620,0bff71e3-b309-4659-9d43-7a0d8ada1efc,0.22,false,false,near_mint,en,EUR
Awaken the Woods,PBRO,The Brothers' War Promos,170p,normal,mythic,1,76924,23508f42-aba6-4c74-9a41-5ccd1e9b1c87,12.58,false,false,near_mint,en,EUR
Six,MH3,Modern Horizons 3,169,normal,rare,1,94688,f9246b68-580f-4f53-883d-7900880e4b0d,3.29,false,false,near_mint,en,EUR
"Invasion of Ikoria // Zilortha, Apex of Ikoria",MOM,March of the Machine,190,normal,rare,1,81089,5d59c8f2-f6af-40a6-8dfe-8cc45bf231ce,7.16,false,false,near_mint,en,EUR
"Yeva, Nature's Herald",RVR,Ravnica Remastered,162,normal,rare,1,89731,67ff9ba3-cd2b-4970-b4da-22104b10a4a4,0.55,false,false,near_mint,en,EUR
Saproling Symbiosis,DMR,Dominaria Remastered,348,normal,rare,1,78004,8253dab6-d6a7-4a1c-b5f6-5a2ee051a128,0.36,false,false,near_mint,en,EUR
Conduit of Worlds,PONE,Phyrexia: All Will Be One Promos,163p,normal,rare,1,79127,452b3a73-c188-4dc1-98ce-e9b82b36f42e,3.36,false,false,near_mint,en,EUR
March of Burgeoning Life,NEO,Kamigawa: Neon Dynasty,201,normal,rare,1,66641,0e223d99-408a-413d-abb1-cb2f11ae521d,0.1,false,false,near_mint,en,EUR
Finale of Devastation,WAR,War of the Spark,160,normal,mythic,1,44244,985453e7-997e-4d77-a338-cc0290791ebe,21.73,false,false,near_mint,en,EUR
Ayula's Influence,MH1,Modern Horizons,156,normal,rare,1,44778,1b9296ca-39a8-4aad-be92-0a56c704e950,0.25,false,false,near_mint,en,EUR
"Yedora, Grave Gardener",MUL,Multiverse Legends,30,normal,rare,2,81094,606715cc-c0b8-466a-90a0-719cba1968d6,0.15,false,false,near_mint,en,EUR
Garruk's Harbinger,M21,Core Set 2021,185,normal,rare,2,50914,9e0fa0b6-5f3f-4669-84e8-2c38c9593d88,0.25,false,false,near_mint,en,EUR
