Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Thran Spider,BRO,The Brothers' War,254,normal,rare,1,75859,e72e0ddb-3dd4-4db3-aa05-dec8691432a0,0.25,false,false,near_mint,en,EUR
Weatherlight Compleated,DMU,Dominaria United,242,normal,mythic,1,71626,976fd9d9-a9b5-40b6-ad38-4b3b263e1ebc,0.82,false,false,near_mint,en,EUR
Null Elemental Blast,MH3,Modern Horizons 3,12,normal,uncommon,1,94243,8e259868-d29a-4c03-8ec3-49e914f849fb,0.3,false,false,near_mint,en,EUR
Basalt Monolith,2XM,Double Masters,232,normal,uncommon,1,52077,f79de5e7-1545-420c-bfe1-ee2444fca85b,2.66,false,false,near_mint,en,EUR
Timeless Lotus,DMU,Dominaria United,239,normal,mythic,1,71527,6f566387-3342-4325-ba4c-eee7626072ac,6.65,false,false,near_mint,en,EUR
Tormod's Crypt,TSB,Time Spiral Timeshifted,115,normal,special,1,26906,901c4e55-d578-4c20-95fe-26985145de57,2.75,false,false,near_mint,en,EUR
Serum Powder,IMA,Iconic Masters,228,normal,rare,1,3397,c8753b80-aa9e-4f82-9a02-6b3997169dbb,0.7,false,false,near_mint,en,EUR
"Syr Ginger, the Meal Ender",WOE,Wilds of Eldraine,252,normal,rare,1,85519,7fbdba12-1369-41ae-b0e9-c405c0f0a2e5,0.81,false,false,near_mint,en,EUR
"Realmbreaker, the Invasion Tree",MOM,March of the Machine,263,normal,rare,1,81126,7b608134-cfc3-48bf-92d8-35d732fcde54,0.57,false,false,near_mint,en,EUR
The Filigree Sylex,ONE,Phyrexia: All Will Be One,227,normal,rare,1,78615,6e0958a1-1bac-48be-888d-f7573f409a9b,0.31,false,false,near_mint,en,EUR
Horizon Stone,CMR,Commander Legends,315,normal,rare,1,55716,6affd9c6-f7ab-488e-85fa-2a3a48383414,0.43,false,false,near_mint,en,EUR
Mighty Servant of Leuk-o,CLB,Commander Legends: Battle for Baldur's Gate,324,normal,rare,1,68920,257f12c2-db58-413f-9896-6e556bd9c0d9,0.24,false,false,near_mint,en,EUR
Sigiled Sword of Valeron,MOC,March of the Machine Commander,377,normal,rare,1,81659,4ce8022a-40f7-4f9d-8d2f-057e21798114,0.19,false,false,near_mint,en,EUR
Tarrian's Soulcleaver,LCI,The Lost Caverns of Ixalan,264,normal,rare,1,88729,99413817-1218-4947-b12f-9a952b095a89,1.18,false,false,near_mint,en,EUR
Chromatic Lantern,M3C,Modern Horizons 3 Commander,285,normal,rare,1,94967,69d76fe8-3ef1-491f-a69f-560f11611e42,1.86,false,false,near_mint,en,EUR
Desolation Twin,C21,Commander 2021,82,normal,rare,1,58630,935ad5f7-f86c-4fea-94fe-d111d4435ac4,0.25,false,false,near_mint,en,EUR
Keening Stone,C16,Commander 2016,259,normal,rare,1,7095,442b8c31-f346-4984-9159-2dce6a7485ac,0.45,false,false,near_mint,en,EUR
Surgehacker Mech,NEO,Kamigawa: Neon Dynasty,260,normal,rare,1,66353,3c4bf679-01cc-4786-a3bd-89c8ae70fdfa,0.14,false,false,near_mint,en,EUR
Platoon Dispenser,BRO,The Brothers' War,36,normal,mythic,1,75528,6c4825e3-c549-4bcb-84b5-2d0782c5c4e5,0.81,false,false,near_mint,en,EUR
Cryptex,MKM,Murders at Karlov Manor,251,normal,rare,1,91323,f92a2563-6cfb-4d12-9513-b44d1a7a20ab,0.04,false,false,near_mint,en,EUR
"Marvin, Murderous Mimic",DSK,Duskmourn: House of Horror,253,normal,rare,1,98981,66898970-b99b-48f2-9240-68c301c95500,0.89,false,false,near_mint,en,EUR
Myriad Construct,CMM,Commander Masters,963,normal,rare,1,85100,fe102126-9aee-4b50-8bc6-1e979132eb3e,0.09,false,false,near_mint,en,EUR
Nevinyrral's Disk,CMM,Commander Masters,965,normal,rare,1,84234,36fb6ee3-bd54-4e5b-b055-c2c42515c162,0.31,false,false,near_mint,en,EUR
"Traxos, Scourge of Kroog",DMC,Dominaria United Commander,195,normal,rare,1,71586,8566e91a-5f2c-4854-aeb3-68b3c4344582,0.11,false,false,near_mint,en,EUR
