Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Temple of Mystery,M21,Core Set 2021,254,normal,rare,1,50877,81634185-eb67-4d13-8b82-a662b8c9a7f0,0.16,false,false,near_mint,en,EUR
Temple of Malice,PTHB,Theros Beyond Death Promos,247p,normal,rare,1,47086,84b9ae97-8ec4-4f70-9607-045baaae5e81,0.42,false,false,near_mint,en,EUR
Temple of Malady,M20,Core Set 2020,254,normal,rare,4,45206,6e327d94-5540-49f0-b1a2-a3fb614c9651,0.22,false,false,near_mint,en,EUR
Temple of Abandon,FDN,Foundations,696,normal,rare,4,100803,8a990a92-8d0f-489f-ae97-68c90fc5ccf1,0.21,false,false,near_mint,en,EUR
Temple of Epiphany,M20,Core Set 2020,253,normal,rare,2,45207,00f8ec3c-d2cb-477c-a7e8-ff497df646d6,0.2,false,false,near_mint,en,EUR
Temple of Plenty,PTHB,Theros Beyond Death Promos,248p,normal,rare,2,47084,fddd3be9-2670-4f91-a3d6-2815ae320b6a,0.44,false,false,near_mint,en,EUR
Temple of Triumph,M21,Core Set 2021,256,normal,rare,3,50735,2366499c-9d07-46bb-8488-6cd60056fa16,0.2,false,false,near_mint,en,EUR
Temple of Silence,M20,Core Set 2020,256,normal,rare,3,45204,64cbb241-7268-42ac-a3ae-d326c9b6247f,0.16,false,false,near_mint,en,EUR
Temple of Enlightenment,PTHB,Theros Beyond Death Promos,246p,normal,rare,5,47088,23c206c5-dde1-47b8-aea1-37d0fab123c3,0.37,false,false,near_mint,en,EUR
Thornspire Verge,DSK,Duskmourn: House of Horror,270,normal,rare,1,98714,7e1cdc03-6faa-4138-9a52-caafbe34fb59,4.87,false,false,near_mint,en,EUR
Urza's Cave,MH3,Modern Horizons 3,234,normal,uncommon,2,94247,926916ed-2f22-4ba9-9427-194886ad6c1e,1.19,false,false,near_mint,en,EUR
Mirrex,ONE,Phyrexia: All Will Be One,254,normal,rare,1,78548,54a702cd-ca49-4570-b47e-8b090452a3c3,2.51,false,false,near_mint,en,EUR
Temple of Deceit,PTHB,Theros Beyond Death Promos,245p,normal,rare,2,47090,43c4d225-d3b9-462d-89db-43f3530d529f,0.49,false,false,near_mint,en,EUR
The Mycosynth Gardens,ONE,Phyrexia: All Will Be One,256,normal,rare,1,78566,5a931463-25f6-4e31-95b4-bb4a9388009b,2.54,false,false,near_mint,en,EUR
Sunken Citadel,LCI,The Lost Caverns of Ixalan,285,normal,rare,1,88428,3e1c9b1a-e306-47bb-9f68-2083660319c0,1.38,false,false,near_mint,en,EUR
Prairie Stream,C19,Commander 2019,265,normal,rare,1,45669,beaf2d9d-f25c-46d9-940d-b4c3287a5a74,0.27,false,false,near_mint,en,EUR
Mishra's Foundry,BRO,The Brothers' War,378,foil,rare,1,75867,e91f9a1e-809b-4bc0-afca-c0c3755d130f,0.41,false,false,near_mint,en,EUR
Mishra's Foundry,BRO,The Brothers' War,265,normal,rare,1,75821,da7699b2-e1af-4bc0-8c5b-84ba3e868d7c,0.54,false,false,near_mint,en,EUR
"Shinka, the Bloodsoaked Keep",PLST,The List,CHK-282,normal,rare,1,65004,eb444c1e-0655-4251-9ecf-ad03473c6bb5,10.78,false,false,near_mint,en,EUR
Rogue's Passage,PW24,Wizards Play Network 2024,10,normal,uncommon,1,90104,9f7675e6-bde2-4490-9f7a-809f3f49d6fd,0.26,false,false,near_mint,en,EUR
Blackcleave Cliffs,PONE,Phyrexia: All Will Be One Promos,248p,normal,rare,3,79197,b0be4d31-07da-42df-bfb9-241e5826d36d,2.15,false,false,near_mint,en,EUR
Tyrite Sanctum,KHM,Kaldheim,272,normal,rare,1,56809,309ff3bf-acd3-4bea-b518-6e25f6cfce61,1.06,false,false,near_mint,en,EUR
Shrine of the Forsaken Gods,MKC,Murders at Karlov Manor Commander,292,normal,rare,1,90338,4472d5fb-ca8f-43d0-a95d-5bd8bdb6a02d,0.24,false,false,near_mint,en,EUR
Castle Vantress,ELD,Throne of Eldraine,242,normal,rare,1,46096,0a8b9d37-e89c-44ad-bd1b-51cb06ec3e0b,0.42,false,false,near_mint,en,EUR
Hall of Tagsin,BRO,The Brothers' War,263,normal,rare,1,75692,a8007012-39c5-4247-ba77-1cfcaade37fa,0.25,false,false,near_mint,en,EUR
Godless Shrine,RNA,Ravnica Allegiance,248,normal,rare,1,43617,ced4c824-2dfc-42ae-84e6-09f8e3f51b5b,10.26,false,false,near_mint,en,EUR
Baldur's Gate,CLB,Commander Legends: Battle for Baldur's Gate,345,normal,rare,1,68915,2436aa14-9200-4295-8041-b682cf3c4216,1.67,false,false,near_mint,en,EUR
Mossfire Valley,MKC,Murders at Karlov Manor Commander,274,normal,rare,1,90293,285e4907-3d43-4c54-8a7f-cd8d2551de44,0.18,false,false,near_mint,en,EUR
Treasure Vault,AFR,Adventures in the Forgotten Realms,261,normal,rare,1,60358,a0931eb3-b403-4b1a-ad46-a7b0a51bb9a4,3.15,false,false,near_mint,en,EUR
Lotus Field,M20,Core Set 2020,249,normal,rare,1,45211,0e013033-3995-4ba8-b0c3-0614c79aaaab,4.78,false,false,near_mint,en,EUR
Thespian's Stage,2XM,Double Masters,327,normal,rare,2,51840,269a926d-7788-4668-8bd8-7572dbf5f5eb,0.95,false,false,near_mint,en,EUR
Irrigated Farmland,C20,Commander 2020,282,normal,rare,1,50136,54065d26-39ae-412c-b60e-d22d7f3e78be,0.24,false,false,near_mint,en,EUR
Dryad Arbor,TSR,Time Spiral Remastered,277,normal,rare,1,57823,bb3a843b-2dea-4b44-be74-c09c18b9b969,2.66,false,false,near_mint,en,EUR
Sheltered Thicket,AKH,Amonkhet,248,normal,rare,2,5437,d23cd764-3f5c-4c93-ba83-e5ff397003a2,0.15,false,false,near_mint,en,EUR
Llanowar Wastes,C21,Commander 2021,297,normal,rare,2,58755,102f764d-43e1-4183-9b10-27beab571050,1.28,false,false,near_mint,en,EUR
Yavimaya Coast,ORI,Magic Origins,252,normal,rare,1,10690,7ae3d45b-a40c-4003-960a-2d1d0847e750,0.62,false,false,near_mint,en,EUR
Concealed Courtyard,KLD,Kaladesh,245,normal,rare,1,7398,c8769e97-aee8-4466-a9d7-0f4245ae4a97,0.98,false,false,near_mint,en,EUR
