Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Casualties of War,KHC,Kaldheim Commander,83,normal,rare,1,57277,e5a2a709-0273-48a3-874b-13aff4872b0a,0.45,false,false,near_mint,en,EUR
Spinal Embrace,DMR,Dominaria Remastered,201,normal,rare,1,78129,cd12b2d6-3940-4d47-8c76-ae73b8a14b15,0.08,false,false,near_mint,en,EUR
"Jhoira, Ageless Innovator",DMU,Dominaria United,202,normal,rare,1,71805,dd911900-1f5f-4420-96b8-1e4fe67e59f6,0.04,false,false,near_mint,en,EUR
"Meria, Scholar of Antiquity",DMU,Dominaria United,206,normal,rare,1,71397,3eedd979-783d-4721-92de-965b77c20576,0.27,false,false,near_mint,en,EUR
"Oko, the Ringleader",OTJ,Outlaws of Thunder Junction,223,normal,mythic,1,91800,396df8d6-e85d-4486-8116-68841b7e1e2e,0.88,false,false,near_mint,en,EUR
"Selvala, Eager Trailblazer",OTJ,Outlaws of Thunder Junction,231,normal,mythic,1,93232,7d2e167f-7cb2-4f15-a1db-7ee56b7ba523,0.34,false,false,near_mint,en,EUR
Seraphic Steed,OTJ,Outlaws of Thunder Junction,232,normal,rare,1,93230,7ada7ab4-0dee-4ff3-9817-1e61ca3f2ccf,0.22,false,false,near_mint,en,EUR
"Ezuri, Stalker of Spheres",ONE,Phyrexia: All Will Be One,201,normal,rare,1,78870,d38961ce-0257-412f-acec-c5c9886061f8,0.36,false,false,near_mint,en,EUR
Dire-Strain Rampage,MID,Innistrad: Midnight Hunt,219,normal,rare,1,63141,0f4a7c01-95ca-43bf-bc53-875cfb4bffa1,0.15,false,false,near_mint,en,EUR
"Greasefang, Okiba Boss",NEO,Kamigawa: Neon Dynasty,220,normal,rare,3,66711,56a0d43b-4d38-40a7-be6c-8324ab3bf773,0.2,false,false,near_mint,en,EUR
"Eruth, Tormented Prophet",VOW,Innistrad: Crimson Vow,237,normal,rare,1,64342,9f764077-df2d-4ac7-b507-2c8e08386d49,0.24,false,false,near_mint,en,EUR
Dramatic Finale,STX,Strixhaven: School of Mages,180,normal,rare,1,58257,a8ec9be6-c8ad-4a82-8253-c49cdb9443ba,0.19,false,false,near_mint,en,EUR
Angelfire Ignition,INR,Innistrad Remastered,229,normal,rare,1,102648,84ec79d8-c8de-46be-9d82-5e6bd5de9cad,0.24,false,false,near_mint,en,EUR
Satoru Umezawa,NEO,Kamigawa: Neon Dynasty,234,normal,rare,1,66404,8887f26d-b097-4fbc-9c48-bdc656409a32,0.33,false,false,near_mint,en,EUR
Eiganjo Uprising,NEO,Kamigawa: Neon Dynasty,217,normal,rare,1,66519,35203138-5237-49aa-a335-7a32829548a1,0.06,false,false,near_mint,en,EUR
"Clement, the Worrywort",BLB,Bloomburrow,209,normal,rare,1,95794,7028130c-c91d-4bf7-b0b0-450f71107d7a,0.22,false,false,near_mint,en,EUR
"Rem Karolus, Stalwart Slayer",MID,Innistrad: Midnight Hunt,235,normal,rare,1,63400,b31e307a-9689-4e11-8c5f-96b7a4b50bed,0.33,false,false,near_mint,en,EUR
"Chishiro, the Shattered Blade",NEC,Neon Dynasty Commander,1,normal,mythic,1,66444,bffa36ac-137d-481c-b1b7-76a88ef15d54,0.6,false,false,near_mint,en,EUR
